id,category,operation,source_anchor,disposition,evidence,condition_and_limit
O11,KEEP,Lua栈扩容/转换后、真正执行Lua前的原资格重验,Lua/LuaScriptBackend.cpp:1848-1860,保留；按实际可能回调点布置,lapi.c lua_checkstack;ldo.c luaD_reallocstack,scalar无custom converter不等于准备全过程绝无回调；allocator增长路径也必须审计
O12,KEEP,publication/完整实例代次与当前权限,NativeLuaTaskBackend.cpp:81-85;CppStaticScriptBridge.cpp:29-33,借用稳定定位，仍在进入/用户代码后判定是否失效,source + existing checked-publication tests,旧代次、跨实例、调用内撤权负例继续成立
O13,DIRECT,每次从registry取固定私有traceback函数,"Lua/LuaScriptBackend.cpp:755-760,1905",直接pushcfunction(Impl::traceback)，减少一次registry lookup；保留错误路径实际traceback,lapi.c:609 n==0 branch,私有函数固定且无upvalue；不能删错误追踪或改变公开可替换handler合同
O14,DIRECT,"void成功callback中的lua_settop(vm,1)",Lua/LuaScriptBackend.cpp:1859-1871,"标量参数/void适配中lua_call(...,0)已留下原request槽，可省内部no-op清理",executeSyncStep excerpt;Lua stack contract,外层base恢复保留；custom/TBC/结果路径不可无条件照搬
O15,EXPERIMENT,pcall调用中间C callback，再lua_call真正Lua函数,Lua/LuaScriptBackend.cpp:1832-1916,纯内建scalar→void限定路径尝试直接pcall Lua函数；保留受保护调用、原资格和清理,lapi.c:109/522/609/636/647/772/1076;ldo.c:330,成功静态Lua API调用14→约8；删C trampoline/request/lightuserdata/touserdata/一层CallInfo等；非已测收益；需OOM/TBC/debug hooks/重入验证
O16,EXPERIMENT,每次registry查询函数和self,Lua/LuaScriptBackend.cpp:1842-1846,可试冷期有界C closure/upvalue保存合法Lua根，或更窄的稳定ref关联,lua_rawgeti in P4 samples,与O15可能互斥，不能叠加收益；增加每步骤根/closure内存，不缓存Lua内部裸指针或跨回调栈索引
O17,KEEP,ExecutionScope保存恢复active_execution/base/重入深度,Lua/LuaScriptBackend.cpp:386-419,保留最小动态栈式关联；可让同一桥只进入一次,source + nested TBC tests,不能扩展到任意原生等待期间或用共享全局current替代嵌套帧
O18,KEEP,lua_checkstack动态安全额度,"Lua/LuaScriptBackend.cpp:1837,1903",不能整体搬到挂载期；有C callback时各自CallInfo额度必须成立,lapi.c:109;W0 tests,O15真删除中间callback才可能合并；不提高全VM MINSTACK，不缓存可能被增长/重入改变的stack指针
O19,REUSE,prepareResume已验证后result<int>再次走nullable链/零值fallback/通用data分支,CppStatic/ScriptCoroutine.hpp:354-389,内部typed成功恢复访问承接已验证packet；读取实际4B值，不重复自检,long-resume-complete.txt:0x65-0x94,来源packet入口仍检查READY/type/size；旧A必须在用户恢复前归还；不是从已释放Awaitable借指针
O20,UNCONFIRMED,AwaitableOutcome/optional/OwnedBytes间可能多余搬运,ScriptExecution.hpp:551-564;ScriptRuntime.hpp:241-253,若最终机器码证明额外move，可改调用方承载outcome；不改结果owner/逻辑占槽,source only for extra-move count,当前未逐一证明哪些move被编译器消除，不登记为已确认收益；4B数据复制本身需要保留有效寿命
O21,UNCONFIRMED,每次恢复先读取仅故障需要的methodSymbol,ScriptExecution.hpp:798-805,若未被编译器下沉，延到实际失败分支且在destroy/reentry前捕获,source only,未取得该load单独最终机器码证明；不能按源码行数报节省
O22,COLD_BINDING,C++ Event contract→local→actual slot→admission解析,CppStaticScriptBridge.cpp:618-631;ScriptCoroutine.hpp:508-521,冷期按import排列实例私有admission关联；有效任务借用直取对应项,State::resolveEvent machine excerpt;P4 3.99% self,不能将同名/另一contract来源放行；原core scope/instance/layout epoch检查仍在；不是3.99%必可全省
O23,COLD_BINDING,prepared Event结果又走通用result_type.valid/布局分支,"ScriptExecution.hpp:176-200,401-439",把来源已证明布局与公共任意结果入口分开，复用同一动态接纳内核,source + previous H1 boundary scope,保留source preflight→A→commit及错误优先级；不能误宣称本分支已经合入H1
O24,REUSE,新插入结果只返回key后立即find回同一记录,ScriptExecution.hpp:204-216;EventWaits.hpp:287-306,组件内部插入返回受限key+临时定位结果，无用户代码段内复用,source,不共享完整owner容器；不跨用户代码缓存moving SlotMap指针
O25,EXPERIMENT,每次resume重建带固定函数指针的ScriptStepContext,ScriptExecution.hpp:778-785,评估共享只读ops表与本次instance/owner的窄context分离,source + current compiler layout,双方原路径都有此成本；改变C++布局需重编SDK，可能新增指针追踪；不得计为NA1专属收益
O26,EXPERIMENT,每步更新execution_depth_high_water,Lua/LuaScriptBackend.cpp:394-400,可选观察统计与实际depth/容量拆开,source;P4 stats contract,现有stats公开可见，关闭须明确unavailable并迁移观察；不是删实际嵌套深度/容量或业务oracle
O27,EXPERIMENT,同步helper被内联后ABI暂存进入coroutine frame,"Tasks.hpp:12-17,52-64;generated Tasks coroutine",改transport/临时寿命/冷错误分支后复查编译器放置；必要时比较受限out-of-line helper,long-resume-complete.txt:0xf8/0x110;frame-sizes352B,不能仅源码抽helper就宣称栈上；不全局forceinline，不关GS/CFG；额外call与frame大小需一起量
O28,ALREADY,lua_pushcfunction每次分配closure的假设,Lua lapi.c:609-632,n==0仅写light C function TValue，已无heap分配,fixed Lua source excerpt,不能把它当per-call heap优化；能减少API调用不等于减少对象分配
O29,KEEP,Lua self.value读取/写入与用户业务,benchmark/business.lua:apply_event,保持真实Lua table语义,P4 luaH_Hgetshortstr self A .996219s B1.144015s,不改local捕获benchmark，不冻结可变表；软件采样未证明cache/分支因果
O30,KEEP,等待/结果拥有、取消/pin、A先释放、claim顺序、FIFO/预算/frontier,ScriptExecution/EventWaits/Timers/Ingress,保留；优化无用户代码短区间的访问，不删除协议,full contract tests,不合并为A1 cell/第二scheduler，不提前复用write-pinned物理槽
O31,ALREADY,VTune每个模板inline frame都算真实函数调用的假设,P4 top-down;longTask machine,按实际call/IAT记录；Tasks::step等已有部分内联,long-resume-complete.txt,真实仍有syncStepSlot、DLL bridge及Lua API边界；不把逻辑inline栈重复相加
O32,KEEP,真正Lua返回值检查与结果后置发布,"Lua/LuaScriptBackend.cpp:1564-1605,1860-1868,1911-1916",对非void保留实际类型/range/原资格；错误不回滚已发生业务,output-reject tests,P4无返回值没有这部分读取；OwnedBytes inline32未被通用零填充，不能重复优化旧已消除工作
