id,phase,category,case,required_outcome,required,execution_status,evidence
T18,N3,非法挂起,同步调用引擎Event/Delay await,在登记来源前拒绝；A/C/source无泄漏；无fallback thread,MUST,NOT_RUN,
T19,N3,语言行为,Lua内部pcall捕获非法等待,可同步恢复且无残留等待；没有把可捕获Lua错误改为全局sticky abort,MUST,NOT_RUN,
T20,N3,故障,native终止fail,不创建A/Ready；fail之后无业务；有效错误回传；frame恰好一次destroy,MUST,NOT_RUN,
T21,N3,错误,Lua函数体/traceback异常,所有Lua错误封闭在同步桥；不经C++unhandled_exception terminate,MUST,NOT_RUN,
T22,N3,OOM,参数/主栈扩容失败,准备阶段Lua OOM可恢复；外层RAII和原生frame没有被longjmp越过,MUST,NOT_RUN,
T23,N3,OOM,record转换/错误构造失败,converter和错误信息失败有受控状态；无半构造值/残root,MUST,NOT_RUN,
T24,N3,清理,TBC/close与栈恢复,__close执行次数和错误范围正确；不清掉外层合法TBC/重入栈槽,MUST,NOT_RUN,
T25,N3,重入,Lua→provider→嵌套Lua,准确恢复thread/instance/base/qualification；内层失败不污染外层,MUST,NOT_RUN,
T26,N3,权限,转换期间立即撤权,原资格无效后不进入下一业务provider；不重新捕获新ACTIVE冒充原调用,MUST,NOT_RUN,
T27,N3,权限,deferred stop当前region,按V4规则保留当前合法region，后续新执行在正确时点拒绝,MUST,NOT_RUN,
T28,N3,取消,等待期间退休/销毁,取消source→禁止后续stage→一次destroy；无悬空sync step引用,MUST,NOT_RUN,
T29,N3,取消,Lua执行期间撤权与延迟物理释放,不得在当前native resume/C++frame执行中destroy；退场后安全回收,MUST,NOT_RUN,
T30,N3,迟到结果,取消后旧Event/完成到达,不恢复旧任务/新复用槽；不访问已释放child/资产,MUST,NOT_RUN,
T31,N3,并发,同self两个独立任务,各自snapshot/payload独立；允许合法交错；没有每实例唯一frame限制,MUST,NOT_RUN,
T32,N3,身份,跨实例/旧step handle,错误instance/epoch/content拒绝，不能借同slot新实例权限,MUST,NOT_RUN,
T33,N3,Event顺序,claim/callback/copy前后权限,保持原claim cutoff、callback顺序及copy前后有效性,MUST,NOT_RUN,
T34,N3,Event满,Event来源/A双满与Ready满,双满原优先级；Ready满按原Event fault/取消，不改立即resume,MUST,NOT_RUN,
T35,N3,Timer满,Timer接纳/Ready满重试,A先接纳，duration/Timer容量后检查；Ready满保留来源原稳定点重试,MUST,NOT_RUN,
T36,N3,队列,stale pop与frontier预算,旧条目仍消耗budget；同frontier接入，不去重或增加恢复点,MUST,NOT_RUN,
T37,N3,容量,take时点/恢复后再等待,进入后续用户步骤前归还旧A；capacity=1连续等待可运行,MUST,NOT_RUN,
T38,N3,容量,核心C晚接纳,backend先运行到挂起；C满副作用和destroy/discard顺序保留,MUST,NOT_RUN,
T39,N3,保活,write pin与物理槽,active减少不意味最后pin前物理A可复用；沿旧合同,MUST,NOT_RUN,
T40,N3,Sequence,三等待phase与数据时序,NextStep→Event→simulationdelay；snapshot早读和self晚读无互换,MUST,NOT_RUN,
T41,N3,Long task,32次等待重用原生frame,一task一frame、多次等待；A同样是一Lua协程32wait以避免不公平,MUST,NOT_RUN,
T42,N4,record,原ValuePose跨等待,真实字段/schema/codec；typed副本独立于原输入寿命；无新增record返回假设,MUST,NOT_RUN,
T43,N4,record压力,八record或更大frame上界,容量拒绝/显式任务上限有据；不扩大所有frame档位；拷贝成本实记,MUST,NOT_RUN,
T44,N4,配置,Lua同步-only容量,0任务thread容量可运行同步/lifecycle；不保留隐藏thread池；旧模式不变,MUST,NOT_RUN,
T45,N4,churn,32轮创建/取消/退场,lease/root/nativeframe/step集合平衡；无每次重建增长,MUST,NOT_RUN,
T46,N4,内容,替换与旧内容保活,旧task不自动绑定新函数；既有旧实例/制品生命周期正确,MUST,NOT_RUN,
T47,N4,线程,owner串行进入,共享VM不被多worker同时调用；非法调度边界按既有合同拒绝,MUST,NOT_RUN,
T48,N4,Physics,真实混合迁移oracle,只迁移目标Lua异步片段；CPP/FlowForge原业务保留；query和等待/整帧结果一致,MUST,NOT_RUN,
T49,N5,测量,共同fixture和工作量锁,A原方法不额外helper化；资产映射明确；真实完成数、时序及per-instance值匹配,MUST,NOT_RUN,
T50,N5,测量,准确ROI与结构诊断隔离,profile区间可证明；正式无观察；54有效进程、慢组不筛除,MUST,NOT_RUN,
T51,N5,资源,完整owner账目与备用配置,native+composition+Lua+core计全；不重复相加；B_KEEP_LUA_RESERVE资源诊断独立,MUST,NOT_RUN,
T52,N6,旧资格,既有测试/15消费者/13增量,实际全量构建/无工作/CTest/VM4/旧15和13逐项；原FlowForge实际生成运行,MUST,NOT_RUN,
T53,N6,新消费者,installed native-task-lua-steps,仅public安装SDK构建打包运行；不依赖private/source/generated旧路径,MUST,NOT_RUN,
T54,N6,迁址与交付,旧两链+新链/归档回取,实际路径隔离与恢复；新内容hash；完整status/source/run/limitation和远端可验证记录,MUST,NOT_RUN,
