check_id,stage,site,predicate,classification,planned_action,required_proof,invalidated_by,must_keep,sources,test_ids,actual_before_file_lines,actual_proof_file_lines,actual_after_file_lines,old_rejection_owner,assembly_evidence,runtime_evidence,status
H2-E05,H2,beginSuspension/takeAwaitable/queue,C晚接纳、A归还、queue-full、stale预算,R,KEEP_DYNAMIC,原运行时提交顺序,每次运行转换,错误优先级与副作用,S11,T10;T13;T14,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:667,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:551,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:667,C 晚接纳、取值还 A、源取消、stale pop/full queue 按 V4 时点,machine-A-full/index.json; machine-B2-full/index.json; withdrawn65585540=machine-B-full/index.json,final2-d-LastTest.log; final2-t-LastTest.log,KEPT_DYNAMIC
H3-C01,H3,BoundedClassStorage::release(Ticket),重建Allocation后再次定位和验证内部合成data/size,D,RELEASE_RESOLVED,Ticket checked入口已经定位slot,归还槽之前无重入,owner/范围/active/完整generation,S09,T15;T16,f7d2815b:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:64,7c565a00:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:72,7c565a00:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:64,Ticket owner/边界/active/完整 generation 检查后私有写内核；不再构造再验证 Allocation,machine-A-full/index.json; machine-B2-full/index.json,contract-comparison-final/result.json,RESOLVED_LOCAL
H3-C02,H3,BoundedClassStorage::release(Allocation),调用者提供的data/size匹配,B/L,KEEP_BOUNDARY,本次外部Allocation,每次release,错误票据/数据拒绝,S09,T15,f7d2815b:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:262,7c565a00:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:3,7c565a00:engine/domain/simulation/scripting/core/include/lux/engine/simulation/scripting/detail/BoundedClassStorage.hpp:263,外部 data/size/nonempty/page/slot/active/generation 仍拒绝；错误释放不改变统计,machine-A-full/index.json; machine-B2-full/index.json,contract-comparison-final/result.json,KEPT_BOUNDARY
H3-N01,H3,NativeFrameStorage::acquire/release,d.stride / c.stride固定算术,P,CANDIDATE_PRECOMPUTE,layout prepare,layout重用/释放,不增加metadata，不收紧合法范围,S08,T03;T17,f7d2815b:engine/domain/simulation/scripting/native/pinclude/lux/engine/simulation/scripting/native/NativeFrameStorage.hpp:208,7c565a00:engine/domain/simulation/scripting/native/pinclude/lux/engine/simulation/scripting/native/NativeFrameStorage.hpp:208,7c565a00:engine/domain/simulation/scripting/native/pinclude/lux/engine/simulation/scripting/native/NativeFrameStorage.hpp:208,保留 div；Class 增字段使32B→40B，违背本轮 backing 条件,machine-A-full/index.json; machine-B2-full/index.json,machine-A-full/index.json; layout-final2/B/run.log,NOT_SELECTED_METADATA_TRADEOFF
H4-L01,H4,LuaAbilityProjectionAccess::current,thread/execution/closure layout/ordinal,B/L,KEEP_BOUNDARY,本次Lua调用,每次调用/可观察closure变化,原来源拒绝与实际arity,S07;S12,T18;T19,f7d2815b:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2259,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2259,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2259,当前 execution/thread/behavior/layout/closure ordinal；无效绑定不按 standalone 放行,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log,KEPT_BOUNDARY
H4-L02,H4,LuaAbilityProjectionAccess private downstream,已解析prepared.context/dispatch/semantic再验证,P/D/U,AUDIT_THEN_RESOLVE,核对所有构造、standalone与撤销路径,原发布/实例寿命结束,边界本身不得绕过,S06;S07,T02;T18;T20,f7d2815b:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2301,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2259,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2301,current 一次 prepared_abilities.at；revalidate 无重复目录解析，比较原 access,machine-A-full/index.json; machine-B2-full/index.json,machine-A-full/index.json; machine-B2-full/index.json,ALREADY_BOUNDARY_ONLY
H4-L03,H4,invokeLuaValueAbility,默认scalar can_reenter=false,P,ALREADY_IMPLEMENTED,现有if constexpr,非默认或自定义codec不可外推,当前调用与实际scalar输入检查,S06,T20;T21,f7d2815b:engine/domain/simulation/scripting/lua/include/lux/engine/simulation/scripting/lua/LuaScriptAbilityProjection.hpp:151,7c565a00:engine/domain/simulation/scripting/lua/include/lux/engine/simulation/scripting/lua/LuaScriptAbilityProjection.hpp:151,7c565a00:engine/domain/simulation/scripting/lua/include/lux/engine/simulation/scripting/lua/LuaScriptAbilityProjection.hpp:151,原默认 scalar 免转换后重验；初始权限和实际参数仍验证，不计本轮收益,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log,ALREADY_IMPLEMENTED
H4-L04,H4,Lua value codecs,arity/type/range/enum/raw shape,B,KEEP_BOUNDARY,本次Lua值,每次调用/字段修改,错误路径与provider副作用,S06;S10,T20;T21;T22,f7d2815b:engine/domain/simulation/scripting/lua/include/lux/engine/simulation/scripting/lua/LuaScriptAbilityProjection.hpp:131,7c565a00:modules/function/script/lua/src/LuaValue.cpp:1,7c565a00:engine/domain/simulation/scripting/lua/include/lux/engine/simulation/scripting/lua/LuaScriptAbilityProjection.hpp:131,arity/type/range/enum/strict raw shape 仍按实际输入；结果失败不回滚 provider,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log,KEPT_BOUNDARY
H4-L05,H4,Lua revalidate/resume,转换后原调用资格/原execution,L,KEEP_DYNAMIC,原capture不能以新capture替换,allocator/converter/provider等用户代码,即时撤权/延迟stop差异,S07;S11,T12;T23,f7d2815b:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2301,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2301,7c565a00:engine/domain/simulation/scripting/lua/src/LuaScriptBackend.cpp:2301,原 capture 比较；转换重入后不重新 capture 获取权限,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log:resume-retire/resume-stop/retire/fault/recovery,KEPT_DYNAMIC
H4-L06,H4,LuaValue::trampoline,当前CallInfo栈额度与OOM,R,KEEP_DYNAMIC,W0已修的内部callback检查,每个C callback新额度,pcall/outer owners清理,S10;S12,T24,f7d2815b:modules/function/script/lua/src/LuaValue.cpp:59,7c565a00:modules/function/script/lua/src/LuaValue.cpp:59,7c565a00:modules/function/script/lua/src/LuaValue.cpp:59,W0 callback checkstack/pcall/OOM 及外层 owning cleanup 保留,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log:CODEC_INNER_STACK_OOM,KEPT_DYNAMIC
H4-C01,H4,PreparedInvocation::current,ACTIVE + 完整实例身份,L,ALREADY_MINIMAL_AUTHORITY_PATH,现有固定authority借用,退休/同槽复用,不新增身份目录或证书,S05,T02;T23,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:333,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:333,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:333,既有只读 authority + 完整身份，不添加证书和目录,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log:script_bindings,ALREADY_MINIMAL_AUTHORITY_PATH
