"id","group","status","setup","action","expected","implementation","evidence","qualified_source"
"F08","Prepare failure","PASS","Redo恢复暂存失败","redo后重试","未提前挪cursor；未改变恢复memento","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F09","Commit boundary","PASS","prepare完成后关闭实际分配入口","apply并发布有限预留通知","纯提交不触发额外分配；模型/选择/history一致","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F10","Commit boundary","PASS","cached_label使用短字符串SSO且需要前缀压紧","execute触发prune后publish","CommitInfo.label准确无悬空；queued通知不借该view","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F11","Reentry","PASS","operation.prepare尝试同history execute/undo/clear/save/close","各独立子例","BUSY；外层可继续；输入所有权不丢","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F12","Reentry","PASS","publish observer读取全部model/history并尝试写","execute/undo/redo","读取一致最终状态；写BUSY；没有重复历史","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F13","Reentry","PASS","plan/被裁剪operation析构试图重入","触发no-op/prune/clear/close","门保持；无递归回放；close后按CLOSED拒绝","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F14","Reentry","PASS","另一个独立history同owner","A的安全publish内操作B","B可按自身协议成功；非全局互斥","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F15","Failure recovery","PASS","一项普通输入失败","随后合法编辑同history","正常成功；无永久error latch","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L01","Limits","PASS","max_entries=2","执行A/B/C再undo两次","仅B/C可撤；回到A后；不假称回初始","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L02","Limits","PASS","retained低于新旧总计","触发最小前缀裁剪","只裁最少旧应用前缀；不删中间；charge合限","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L03","Limits","PASS","大redo分支但新操作可替换其费用","execute新分支","按将保留前缀+新entry计费；不被旧redo费用错误拒绝","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L04","Limits","PASS","单条操作超max_retained","execute","HISTORY_LIMIT；原历史不变；输入保留","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L05","Limits","PASS","memento共享immutable数据","多条历史/裁剪","允许保守重复计费；不把charged当RSS；最后引用才释放","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L06","Clear","PASS","dirty内容且有redo、pending save","clear","内容/state/revision/saved/ticket不变；历史空；事件正确","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L07","Clear","PASS","历史原来已空","clear两次","无重复CLEARED事件；不改变dirty","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L08","Exhaustion","PASS","私有测试快照接近state/revision/event极限","ordinary mutation","ID_EXHAUSTED前拒绝；不回绕/覆盖state","engine/editor/editing/test/SaveLimitCases.hpp; engine/editor/editing/test/EditingProtocolTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"L09","Exhaustion","PASS","event_sequence已经最大且有资源","close","资源仍释放；终态saturated closed；不因计数漏清理","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S01","Save","PASS","initially_saved=true","编辑再undo/redo","初始clean；编辑dirty；回保存state clean","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S02","Save","PASS","S2开始保存，随后编辑到S3","S2保存成功","saved=S2,current=S3,dirty；undo到S2 clean","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S03","Save","PASS","已经一个pending ticket","再次beginSave","SAVE_IN_PROGRESS；原ticket保留","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S04","Save","PASS","分别持invalid/foreign/旧完成ticket","finishSave","STALE_SAVE或准确closed；不覆盖saved","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S05","Save","PASS","同ticket先成功","重复finishSave","STALE_SAVE；saved/event不重复变","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S06","Save","PASS","有效保存请求","FAILED和CANCELLED独立测试","旧saved保留；pending清除；后续新请求成功","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S07","Save","PASS","publish回调里报告写入已成功","finishSave busy后保留结果重试","第一次BUSY；下一owner点确认原state；不丢完成","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S08","Save","PASS","保存的state已从redo分支删除或被裁剪","保存成功或查询clean","仍记录真实写入state；新内容不能伪clean","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"S09","Save","PASS","pending ticket时关闭并新建history","迟到finishSave","旧closed拒绝；新history拒绝foreign；无新模型访问","engine/editor/editing/test/SaveLimitCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R01","Routing","PASS","两种不同EditHistoryTarget业务","注册/显式激活A/B并undo/redo","只选中target业务发生；核心无domain switch","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R02","Routing","PASS","无active或deactivate后","view/undo/redo","view has_target=false；NO_ACTIVE_TARGET；不自动找其他栈","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R03","Routing","PASS","target_capacity满或同pointer/history再注册","registerTarget","TARGET_CAPACITY/DUPLICATE_TARGET；原状态不变","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R04","Routing","PASS","foreign router或已经reset的handle","activate","STALE_TARGET；不覆盖当前有效active；activeTarget值查询不调用target","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R05","Routing","PASS","当前target注销后注册新target复用槽","用旧handle激活","旧registration不命中新对象；新token不同","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R06","Routing","PASS","target history BUSY/BLOCKED/CLOSED","undo/redo","不调用另一target，不静默清空历史；返回准确错误","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R07","Routing","PASS","一个host有预览手势而无局部文本消费","undo","TRANSIENT_CANCELLED；内容history不变；下一undo才内容","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R08","Routing","PASS","活动手势","redo","BLOCKED_BY_HOST；不提交或取消手势","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R09","Routing","PASS","target回调内尝试activate/reset/close","路由undo","BUSY；原token保持；业务对象直到回调后存活","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R10","Routing","PASS","两个live registration","move construction/assignment/self-move","唯一token；旧目标先正常注销；源为空；self保持","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R11","Routing","PASS","显式reset busy后owner安全点","retry reset后销毁target","成功前不能销毁；成功后旧handle拒绝","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R12","Routing","PASS","router先close并销毁，仍有token","晚reset/析构token","不解引用旧router；不操作新router或business","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R13","Routing","PASS","异线程访问live router/token","activate/view/reset等","WRONG_THREAD且token不丢；不能只assert消失","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R14","Commands","PASS","真实CommandRouter+LuxObject Controller","define/bindGlobal/state/invoke","两业务正确undo/redo；enabled与实际target匹配","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R15","Commands","PASS","enabled查询后target被业务模式禁用","invoke观察Router是否重新禁用；另用直接Controller入口验证业务拒绝","Router未分派时业务0、不要求Controller.failed；实际进入Controller的失败才发原目标错误","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R16","Commands","PASS","业务prepare失败被Controller接收","invoke后合法重试","一次失败notice；后续成功；不吞错误或锁死","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"R17","Commands","PASS","切换active target但菜单取得焦点","使用明确route，不自动deactivate","命令仍作用于明确文档；不按selection猜","engine/editor/context/test/EditHistoryRoutingTest.cpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I01","Install","PASS","仅安装SDK和consumer自有源码","configure/build/run","两个业务无需core修改；无source/pinclude/旧build依赖","cmake/RunEditorEditingQualification.ps1","qualified/core-a-configure.log; qualified/core-a-build.log; qualified/core-a-run.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I02","Install","PASS","隔离旧前缀并换SDK位置","重新configure/build/run","正确find组件和headers；虚析构准确","cmake/RunEditorEditingQualification.ps1","qualified/core-b-configure.log; qualified/core-b-build.log; qualified/core-b-run.log; qualified/context-signal-run.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I03","Install","PASS","同配置无修改第二build","build all","no-op；不重新生成同内容metadata","cmake/RunEditorEditingQualification.ps1","qualified/second-build.log; qualified/core-a-second-build.log; qualified/core-b-second-build.log; qualified/context-b-second-build.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I04","Dependency","PASS","core直接/传递链接和include检查","审计installed consumer","无Scene/World/Simulation/UI/Object/ImGui/Vulkan/Graph；context依赖分开","cmake/RunEditorEditingQualification.ps1","qualified/diagnostic-tests.log; qualified/core-a-core-imports.log; qualified/core-b-*-imports.log; qualified/core-b/editing-import.txt; qualified/core-b/compile_commands.json","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I05","Regression","PASS","受影响context/object/UI消费者","RelWithDebInfo真实回归","旧接口未被误删；已存在Graph/Inspector测试语义保留","cmake/RunEditorEditingQualification.ps1","qualified/diagnostic-tests.log; qualified/normal-tests.log; qualified/context-signal-run.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"I06","Performance","PASS","两fixture固定规模非空工作","各5次进程1k/10k execute/undo/redo等","完整量/checksum；绝对成本/charged/staging/metadata清楚","cmake/RunEditorEditingQualification.ps1","qualified/cost-*.log; cost-samples.csv; cost-summary.csv","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
