id,phase,group,setup,action,expected,evidence
C21,ED-1,Ownership,prepare可重试失败,失败后修正外部受控条件并重试同一ptr,失败操作及memento未变；成功才转移,相同操作地址、snapshot、计数
C22,ED-1,Ownership,无实际变化但持恢复资源,execute NO_CHANGE,RECLAIMING释放恰好一次；析构重入得到BUSY,phase+析构trace
C23,ED-1,Ownership,移交过的业务operation来自consumer模块,核心close释放,动态派生析构和所属恢复资源释放一次,installed consumer跨DLL日志
F01,ED-1,Prepare failure,文本range超过当前内容或整数相加溢出,execute,PRECONDITION_FAILED或INVALID_ARGUMENT；无live变更,实际range/value对拍
F02,ED-1,Prepare failure,记录删除准备的第1/第2资源分配失败,分别执行,所有未提交暂存逆序释放；model/selection/history不变,注入点命中与live资源0
F03,ED-1,Prepare failure,核心标题复制分配失败,execute,ALLOCATION_FAILURE；输入保留；redo不丢,核心真实分配点命中
F04,ED-1,Prepare failure,业务budget不足,reserve后不分配,STAGING_LIMIT；reserve失败used不增加,预算和实际allocation计数
F05,ED-1,Prepare failure,budget exact/0/溢出请求,按顺序reserve,边界正确；无回绕；单调保守计费,budget数值trace
F06,ED-1,Prepare failure,业务prepare错误返回空plan,execute,CONTRACT_VIOLATION；操作保留；无提交,模型/游标与virtual trace
F07,ED-1,Prepare failure,Undo恢复暂存失败,undo后解除注入重试,首次所有内容/历史不变；重试准确恢复,failure与retry两份结果
F08,ED-1,Prepare failure,Redo恢复暂存失败,redo后重试,未提前挪cursor；未改变恢复memento,before/after完整对比
F09,ED-1,Commit boundary,prepare完成后关闭实际分配入口,apply并发布有限预留通知,纯提交不触发额外分配；模型/选择/history一致,跨模块分配范围和源码容量证明
F10,ED-1,Commit boundary,cached_label使用短字符串SSO且需要前缀压紧,execute触发prune后publish,CommitInfo.label准确无悬空；queued通知不借该view,标签内容、ASan仅环境已有时附加非门槛
F11,ED-1,Reentry,operation.prepare尝试同history execute/undo/clear/save/close,各独立子例,BUSY；外层可继续；输入所有权不丢,inner目标业务=0与外层结果
F12,ED-1,Reentry,publish observer读取全部model/history并尝试写,execute/undo/redo,读取一致最终状态；写BUSY；没有重复历史,observer trace
F13,ED-1,Reentry,plan/被裁剪operation析构试图重入,触发no-op/prune/clear/close,门保持；无递归回放；close后按CLOSED拒绝,析构阶段与释放计数
F14,ED-1,Reentry,另一个独立history同owner,A的安全publish内操作B,B可按自身协议成功；非全局互斥,两history正确顺序和状态
F15,ED-1,Failure recovery,一项普通输入失败,随后合法编辑同history,正常成功；无永久error latch,counter和最终内容
L01,ED-1,Limits,max_entries=2,执行A/B/C再undo两次,仅B/C可撤；回到A后；不假称回初始,base/entry/cursor/state
L02,ED-1,Limits,retained低于新旧总计,触发最小前缀裁剪,只裁最少旧应用前缀；不删中间；charge合限,实际charge与entry列表
L03,ED-1,Limits,大redo分支但新操作可替换其费用,execute新分支,按将保留前缀+新entry计费；不被旧redo费用错误拒绝,容量规划与最终charge
L04,ED-1,Limits,单条操作超max_retained,execute,HISTORY_LIMIT；原历史不变；输入保留,全状态和无业务计数
L05,ED-1,Limits,memento共享immutable数据,多条历史/裁剪,允许保守重复计费；不把charged当RSS；最后引用才释放,charged与真实引用析构分列
L06,ED-1,Clear,dirty内容且有redo、pending save,clear,内容/state/revision/saved/ticket不变；历史空；事件正确,snapshot与finishSave成功
L07,ED-1,Clear,历史原来已空,clear两次,无重复CLEARED事件；不改变dirty,事件数
L08,ED-1,Exhaustion,私有测试快照接近state/revision/event极限,ordinary mutation,ID_EXHAUSTED前拒绝；不回绕/覆盖state,隔离进程私有探针
L09,ED-1,Exhaustion,event_sequence已经最大且有资源,close,资源仍释放；终态saturated closed；不因计数漏清理,closed通知和资源0
S01,ED-1,Save,initially_saved=true,编辑再undo/redo,初始clean；编辑dirty；回保存state clean,state/saved/revision
S02,ED-1,Save,S2开始保存，随后编辑到S3,S2保存成功,"saved=S2,current=S3,dirty；undo到S2 clean",ticket与状态trace
S03,ED-1,Save,已经一个pending ticket,再次beginSave,SAVE_IN_PROGRESS；原ticket保留,pending匹配
S04,ED-1,Save,分别持invalid/foreign/旧完成ticket,finishSave,STALE_SAVE或准确closed；不覆盖saved,每负例独立
S05,ED-1,Save,同ticket先成功,重复finishSave,STALE_SAVE；saved/event不重复变,notice计数
S06,ED-1,Save,有效保存请求,FAILED和CANCELLED独立测试,旧saved保留；pending清除；后续新请求成功,失败恢复trace
S07,ED-1,Save,publish回调里报告写入已成功,finishSave busy后保留结果重试,第一次BUSY；下一owner点确认原state；不丢完成,ticket重试与saved
S08,ED-1,Save,保存的state已从redo分支删除或被裁剪,保存成功或查询clean,仍记录真实写入state；新内容不能伪clean,分支/保存组合
S09,ED-1,Save,pending ticket时关闭并新建history,迟到finishSave,旧closed拒绝；新history拒绝foreign；无新模型访问,历史ID与provider=0
R01,ED-1,Routing,两种不同EditHistoryTarget业务,注册/显式激活A/B并undo/redo,只选中target业务发生；核心无domain switch,两模型与route trace
R02,ED-1,Routing,无active或deactivate后,view/undo/redo,view has_target=false；NO_ACTIVE_TARGET；不自动找其他栈,业务=0
R03,ED-1,Routing,target_capacity满或同pointer/history再注册,registerTarget,TARGET_CAPACITY/DUPLICATE_TARGET；原状态不变,registry数量及handle
R04,ED-1,Routing,foreign router或已经reset的handle,activate,STALE_TARGET；不覆盖当前有效active；activeTarget值查询不调用target,旧active保留
R05,ED-1,Routing,当前target注销后注册新target复用槽,用旧handle激活,旧registration不命中新对象；新token不同,ID序列
R06,ED-1,Routing,target history BUSY/BLOCKED/CLOSED,undo/redo,不调用另一target，不静默清空历史；返回准确错误,业务目标=0
R07,ED-1,Routing,一个host有预览手势而无局部文本消费,undo,TRANSIENT_CANCELLED；内容history不变；下一undo才内容,preview/内容双计数
R08,ED-1,Routing,活动手势,redo,BLOCKED_BY_HOST；不提交或取消手势,preview不变
R09,ED-1,Routing,target回调内尝试activate/reset/close,路由undo,BUSY；原token保持；业务对象直到回调后存活,资源寿命和explicit retry
R10,ED-1,Routing,两个live registration,move construction/assignment/self-move,唯一token；旧目标先正常注销；源为空；self保持,目标连接和注销数
R11,ED-1,Routing,显式reset busy后owner安全点,retry reset后销毁target,成功前不能销毁；成功后旧handle拒绝,target析构顺序
R12,ED-1,Routing,router先close并销毁，仍有token,晚reset/析构token,不解引用旧router；不操作新router或business,weak-control资源计数
R13,ED-1,Routing,异线程访问live router/token,activate/view/reset等,WRONG_THREAD且token不丢；不能只assert消失,join后状态
R14,ED-1,Commands,真实CommandRouter+LuxObject Controller,define/bindGlobal/state/invoke,两业务正确undo/redo；enabled与实际target匹配,实际CommandRouter调用
R15,ED-1,Commands,enabled查询后target被业务模式禁用,invoke观察Router是否重新禁用；另用直接Controller入口验证业务拒绝,Router未分派时业务0、不要求Controller.failed；实际进入Controller的失败才发原目标错误,两个独立分支的dispatch/Controller/业务计数
R16,ED-1,Commands,业务prepare失败被Controller接收,invoke后合法重试,一次失败notice；后续成功；不吞错误或锁死,failed sink+内容
R17,ED-1,Commands,切换active target但菜单取得焦点,使用明确route，不自动deactivate,命令仍作用于明确文档；不按selection猜,headless路由策略；不宣称真实键盘UI
I01,ED-1,Install,仅安装SDK和consumer自有源码,configure/build/run,两个业务无需core修改；无source/pinclude/旧build依赖,实际compile/link命令
I02,ED-1,Install,隔离旧前缀并换SDK位置,重新configure/build/run,正确find组件和headers；虚析构准确,relocation日志和解析路径
I03,ED-1,Install,同配置无修改第二build,build all,no-op；不重新生成同内容metadata,构建日志
I04,ED-1,Dependency,core直接/传递链接和include检查,审计installed consumer,无Scene/World/Simulation/UI/Object/ImGui/Vulkan/Graph；context依赖分开,DAG和真实链接闭包
I05,ED-1,Regression,受影响context/object/UI消费者,RelWithDebInfo真实回归,旧接口未被误删；已存在Graph/Inspector测试语义保留,CTest范围和非零断言执行
I06,ED-1,Performance,两fixture固定规模非空工作,各5次进程1k/10k execute/undo/redo等,完整量/checksum；绝对成本/charged/staging/metadata清楚,全部原始样本不挑最好
B01,FUTURE,Real business migration,真实Graph或Scene编辑会话,迁移所有该文档写入口,一个权威history；不包装旧undo栈；原失败保证仍成立,生产路径与旧入口删除映射
B02,FUTURE,Pane synchronization,真实Hierarchy/Inspector/Viewport,创建/修改/删除连续undo redo,各视图与选择一致；关闭面板不改变结果,实际窗口交互和模型断言
B03,FUTURE,Logical identity,真实Scene删除/恢复,回放更早属性操作,逻辑对象命中；旧Entity/拾取/async资格仍失效,实际业务身份trace
B04,FUTURE,Selection policy,创建A后用户主动选择B,undo A,保留无关有效B；无用户介入时按业务策略恢复,文档selection版本
B05,FUTURE,Gesture,100次绝对preview,commit/cancel/net-zero,一条或零条history；不双执行；不误删redo,实际frame手势
B06,FUTURE,Input focus,文本输入框局部history为空但具有焦点,Ctrl+Z,不穿透删除场景；输入/手势/内容优先级正确,真实UI键盘与focus记录
B07,FUTURE,Save product,已批准source codec,保存中编辑/关闭重开/异步完成,实际文件内容匹配save state；不临时造格式,真实codec/IO/文件回读
B08,FUTURE,Preview projection,运行preview/编译失败/延迟回传,模型已提交后更新,历史仍一致；标不同步；拒绝旧revision结果,实际render/compiler边界
