id,phase,scenario,procedure,required_result,status,evidence_requirement,implementation_status,actual_evidence
U02,ER-1,无变化查询,连续静止UI帧读取outline,不每帧复制全量Registry/重建结构；快照引用有效,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_scene_session_protocol: cached owning outline identity, nonvisual entity/schema, same-slot new-generation identity and corrected selection; diagnostic version exercises actual entity recycling."
U03,ER-1,非视觉对象,创建无Transform/Parent/Mesh的Entity,Flat仍显示；Inspector不会因为不可渲染忽略对象,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_scene_session_protocol: cached owning outline identity, nonvisual entity/schema, same-slot new-generation identity and corrected selection; diagnostic version exercises actual entity recycling."
U04,ER-1,Hierarchy政策,flat/明确hierarchy切换并给无效关系输入,不猜Scene天然是树；无无限递归；选择按有效目标保持,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,SceneOutliner.cpp cycle/depth handling; GUI nonvisual rows and unknown component text; full cycle/unknown-binding matrix pending
U05,ER-1,未知组件,实体带已有可见schema但缺特定绑定,组件列出并注明绑定限制，不静默消失,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,SceneOutliner.cpp cycle/depth handling; GUI nonvisual rows and unknown component text; full cycle/unknown-binding matrix pending
U06,ER-1,全部既有展示字段,与原readonly fixture逐字段对照,四种内建类型之外原来支持展示的字段也保持,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/sdk-editor-scene-readers-* and relocated-sdk-editor-scene-readers-*: actual plugin DLL/code lifetime, generated reader for 11 field types, typed values and drawing; regeneration/results.json."
U07,ER-1,选择联动,outline选择A随后选择B,Inspector/高亮观察同一权威，无面板互相指针,PASS_INTERMEDIATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_INTERMEDIATE,"gui-01.log/gui-02.log: actual selection/Inspector visibility restore, filtering and Flat; screenshots observed in task, not exported"
U08,ER-1,目标失效,选择对象后真正销毁/关闭旧Session,先修正选择再通知；旧id不能命中新代次,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_scene_session_protocol: cached owning outline identity, nonvisual entity/schema, same-slot new-generation identity and corrected selection; diagnostic version exercises actual entity recycling."
U09,ER-1,关闭重开Inspector,隐藏/销毁并重建面板,内容不销毁、历史不清，读取当前合法目标,PASS_INTERMEDIATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_INTERMEDIATE,"gui-01.log/gui-02.log: actual selection/Inspector visibility restore, filtering and Flat; screenshots observed in task, not exported"
U10,ER-1,布局隔离,同类多个workspace注册/用户调宽后绘制,PaneId不同；不每帧覆盖用户布局；布局不持有Pane,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,gui-02.log: split resize/filter/minimize/restore/wheel; RMB/MMB capture-loss and Chinese IME candidate selection not fully tested
U11,ER-1,capture/失焦,相机拖动中打开模态/失焦/隐藏,capture解除，事件不同时驱动相机与其他工具,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,gui-02.log: split resize/filter/minimize/restore/wheel; RMB/MMB capture-loss and Chinese IME candidate selection not fully tested
U12,ER-1,真实窗口输入,实际鼠标/键盘/缩放/中文输入检查选定环境,只报告实测能力；未验证IME组合态不能冒称通过,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,gui-02.log: split resize/filter/minimize/restore/wheel; RMB/MMB capture-loss and Chinese IME candidate selection not fully tested
H01,ER-1/ER-3,固定本地目标,材质A按钮执行时公共active指向B；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,只调用A，不activate全局后再undo,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H02,ER-1/ER-3,空栈隔离,A空、B与场景有历史；在A触发Undo；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,B/场景调用数及cursor不变,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H03,ER-1/ER-3,其他拒绝隔离,A返回BUSY/BLOCKED/CLOSED；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,无跨target fallback,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,ctest-09.log history/actions/routing: rejected/late registration coverage; entire contract-specific BUSY/CLOSING matrix pending
H04,ER-1/ER-3,窗口菜单目标,菜单打开于A后切换/关闭A再执行；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,使用原token校验，失效取消，不新选B,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H05,ER-1/ER-3,文本拦截,文本框有键盘所有权且本地栈空；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,Ctrl+Z仍不穿透内容历史,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H06,ER-1/ER-3,禁用与失败,disabled路由与可进入后prepare失败分别执行；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,前者不派发；后者正确目标/原因诊断，不能混为一个测试,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H07,ER-1/ER-3,同内容多view,同材质两个view交替修改；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,共用一份内容历史，相机/pan/zoom独立,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); HistoryActionsTest uses two fixed actions for the same TextSession and observes shared undo/redo; GPU multiple_equal verifies independent Scene cameras. Full alternating editing from two concrete views is not exercised; earlier reply-budget citation removed.
H08,ER-1/ER-3,不同内容独立,两个材质Session交替undo/redo；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,各自cursor、dirty、source值互不改变,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H09,ER-1/ER-3,无全局错误闩,普通无效输入后再次合法编辑；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,当前仍有效则成功，不因前次error永久封禁,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_history_actions_protocol/editor_local_history_protocol: real CommandRouter, fixed Text/Record targets, captured menu handle, empty local history and real InputText isolation, direct/queued owning failure and successful retry. ER-1 mechanism only; no Material/Graph migration claim."
H10,ER-1/ER-3,注销与router先关,BUSY注销、失效token、router先关闭；ER-1以两种具体测试业务target验证机制，ER-3再验证真实材质/图会话,不重复调用target，资源按原注册契约保留/释放,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_edit_history_routing R09/R11/R12/R13: BUSY reset retains token until callback returns; router closes before late token; wrong-thread reset preserves token; moved ActiveEditHistory implementation is the actual UI router.
F01,ER-1,真实图像,实际Mesh/Light/offscreen/UI可见输出,非清屏/固定图片；相机改变投影，读取原业务资源,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
F02,ER-1,实际slot,运行覆盖全部配置FIF slot,采样对应slot，不固定views[0],PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
F03,ER-1,外来view,两个renderer局部slot/代次相同,renderer来源不匹配被拒绝，无错误目标调用,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-foreign.log: two real Renderers with matching local identities; foreign image rejected with snapshot and image retained; held lease blocks close, then explicit completion."
F04,ER-1,缺图像引用,draw含非font token但seal缺lease,seal失败，输入snapshot未消费，无GPU发布,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
F05,ER-1,伪造/混代token,同token配不同record或旧generation,拒绝；不把invalid解析成字体/其他图像,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
F06,ER-1,封包失败,seal分配/引用校验失败,snapshot/调用方images仍有效；局部取得引用归还,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-factory_failure.log: Renderer factory 20 and seal 6 actual DLL allocation failures; seal indices 0..5 include original index=2, index6 succeeds; complete texture and image-reference snapshot retained across failure/retry."
F07,ER-1,背压所有权,队列满后trySubmit，再释放一个容量重试,第一次packet仍在调用方，第二次消费一次,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
F08,ER-1,无UI重放,按钮修改后frame背压重试,业务计数一次；不重绘同一事件换新packet,PASS_INTERMEDIATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_INTERMEDIATE,"gpu-viewport-error-01.log and SceneGpuTest.cpp: real pixels/camera, both FIF, missing/forged token rejection, retained backpressure packet, no UI redraw"
F09,ER-1,accept后失败,已SUBMITTED但后续设备/record失败,异步准确报错并释放，不把packet返还假装未消费,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-record_failure.log: fault attached to real admitted packet reaches backend record path, asynchronous exact terminal error, accepted packet not returned, explicit cleanup. Controlled record failure, not physical device-lost qualification."
F10,ER-1,待提交resize,旧sealed packet存在时请求新extent,旧引用按已定局部排空/取消策略处理，不解析新代资源,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-image_lifetime.log: old sealed packet held across 32 resize steps, 32 zero-extent steps, actual backing/generation changes and FIF sampling; final descriptor accounting equal, no validation errors."
F11,ER-1,GPU未完关闭,真实提交未完成时释放全部UI引用并close,不早释放image/descriptor；完成后准确一次,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-image_lifetime.log: actual resize ack2 arrives after desired3 without publishing READY; latest ack3 accepted. Eight actual StateUpdates retire CPU request-slot attachments without GPU frames; CPU refs=1 with completed<submitted keeps owner until true GPU watermark.
F12,ER-1,迟到resize,连续小大尺寸请求并让旧ack晚到,旧ack不覆盖最新desired；不认最新request已完成,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-image_lifetime.log: actual resize ack2 arrives after desired3 without publishing READY; latest ack3 accepted. Eight actual StateUpdates retire CPU request-slot attachments without GPU frames; CPU refs=1 with completed<submitted keeps owner until true GPU watermark.
F13,ER-1,零尺寸隐藏恢复,0x0/隐藏/最小化后恢复,不分配0x0，无无意义忙循环；正确新图像,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-image_lifetime.log: old sealed packet held across 32 resize steps, 32 zero-extent steps, actual backing/generation changes and FIF sampling; final descriptor accounting equal, no validation errors."
F14,ER-1,pool重建,swapchain/UI renderer pool换代,旧descriptor不进入新pool缓存；token仍按正确资源处理,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-image_lifetime.log: old sealed packet held across 32 resize steps, 32 zero-extent steps, actual backing/generation changes and FIF sampling; final descriptor accounting equal, no validation errors."
F15,ER-1,GPU同步,validation与实际输出检查write→sample,正确layout与内存依赖，无每帧waitIdle掩盖,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-multiple_equal/multiple_reverse/multiple_lifecycle.log plus diagnostic variants and compiler barrier tests; actual targets, preserved content, order/resize/close and validation. Dedicated shared-import GPU-only scenario beyond compiler and multi-View coverage remains unqualified."
F16,ER-1,图像证据级别,requested/recorded/GPU complete分阶段查询,无实际显示回执不写displayed；未有证据精确pick禁用,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log and SceneGpuTest.cpp: actual Mesh/Light pixels and camera projection, both FIF slots, missing/forged token rejection retaining inputs, bounded accepted queue and same packet retry; actual GPU completion evidence, no physical DISPLAYED claim."
R01,ER-1,资源匹配,当前Mesh3D描述与resolved source不相同,不发布错误mesh/material upsert，资源面板准确解释,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-late_source.log checks current Mesh3D source replaced during a real old read. Deliberately conflicting preexisting ResolvedMeshResources source versus Mesh3D remains unexecuted.
R02,ER-1,选择独立,加载A资源过程中选择B/清空选择,A结果仍按所属Session/目标接纳，不查全局Selection,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-late_selection.log: provider holds actual A asset read for32 owner cycles while selecting B then empty; all reads return, original full request identity reaches READY, selection remains empty."
R03,ER-1,关闭后的成功,取消/关闭后旧加载上传成功返回,不写新Scene，真实handle归正确owner释放,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-late_close/late_entity/late_source.log: held real provider replies, close-after-start, actual Entity slot reuse, same-Entity source change; stale identities do not overwrite current source/selection."
R04,ER-1,Entity复用,请求发起后旧Entity销毁、槽位复用,旧代次结果不写入新Entity,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-late_close/late_entity/late_source.log: held real provider replies, close-after-start, actual Entity slot reuse, same-Entity source change; stale identities do not overwrite current source/selection."
R05,ER-1,源改变,相同Entity换AssetId/内容版本再收旧结果,拒旧结果，不能只检查Entity存在,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-late_close/late_entity/late_source.log: held real provider replies, close-after-start, actual Entity slot reuse, same-Entity source change; stale identities do not overwrite current source/selection."
