sample,seconds,ui_iterations,render_frames,viewport,warmup,memory_scope,qualification
q7-2-legacy,4.4058922,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-2-scene,4.5175064,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-idle-2-64,0.0032506,500 owner updates only,0,zero Views; 64 unreferenced Mesh,100,typed payload floor 32768 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-idle-2-1024,0.1469599,500 owner updates only,0,zero Views; 1024 unreferenced Mesh,100,typed payload floor 524288 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-3-legacy,4.4012202,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-3-scene,4.3950821,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-idle-3-64,0.0031646,500 owner updates only,0,zero Views; 64 unreferenced Mesh,100,typed payload floor 32768 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-idle-3-1024,0.1468995,500 owner updates only,0,zero Views; 1024 unreferenced Mesh,100,typed payload floor 524288 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-4-legacy,4.4069766,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-4-scene,4.4017634,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-idle-4-64,0.0031672,500 owner updates only,0,zero Views; 64 unreferenced Mesh,100,typed payload floor 32768 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-idle-4-1024,0.1504292,500 owner updates only,0,zero Views; 1024 unreferenced Mesh,100,typed payload floor 524288 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-5-legacy,4.42551,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-5-scene,4.395072,500,500 measured + 8 verification,1024x576 one View,100,not attributed; OS CPU and work/wait cycles only,2d2650c5 normal per-frame-recorded; exact pixels; static pipeline scope
q7-idle-5-64,0.0031683,500 owner updates only,0,zero Views; 64 unreferenced Mesh,100,typed payload floor 32768 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
q7-idle-5-1024,0.1481973,500 owner updates only,0,zero Views; 1024 unreferenced Mesh,100,typed payload floor 524288 bytes; not full heap/driver ownership,2d2650c5 normal; unchanged resource snapshot; not UI/GPU throughput
