id,old_symbol_or_role,decision,source_anchor,target_directory,replacement,phase,preserve,deletion_gate,acceptance_ids,actual_consumer_mapping,implementation_status,actual_evidence
M11,GeneratedFieldEditor / SemanticFieldEditors,RETAIN_ALGORITHMS,GeneratedFieldEditor.hpp,ui/properties + domain-specific UI,PropertyEditors / typed draw functions,ER-2-ER-3,范围、数值类型、特殊字段语义,不把所有业务字段注册进一个运行期万能反射表,U06;I05;E07,Existing consumers retained unchanged for ER-2-ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M12,IGraphDocument,DELETE,GraphDocument.hpp,sessions/material + sessions/flowforge,真实MaterialGraph/FlowGraph typed访问,ER-3,创建/删除/恢复等现有能力,modules不继承Editor接口,G01;G02;G04,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M13,IGraphRules / IGraphPresentation,DELETE,GraphDocument.hpp,typed session + concrete graph Pane,模型校验方法 / NodeCanvasFrame值,ER-3,连线规则、节点/端口标题、颜色、palette,不再人工配对三份包装,G01;G07;G12,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M14,IGraphIntentSink / IGraphRenderer,DELETE,GraphRenderProtocol.hpp,modules UI generic NodeCanvas seam,NodeCanvasFrame / NodeCanvasEvents,ER-3,绘制与交互请求,finite UI events可用variant，不包含业务operation类型,G07;G08;G09,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M15,FlowGraphEditorAdapter family,DELETE,FlowGraphEditorAdapter.hpp,sessions/flowforge + ui/flowforge,FlowGraphSession / FlowGraphPane,ER-3,含dynamic outputs和action捕获恢复,不得仅改名FlowGraphBinding/Bridge,G02;G03;G06,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M16,MaterialGraphEditorAdapter family,DELETE,MaterialGraphEditorAdapter.hpp,sessions/material + ui/material,MaterialSession / MaterialGraphPane,ER-3,材质节点与连接现有行为,不得丢弃旧测试代表的业务能力,G01;G02;G04,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M17,NodeCapture / void NodeActionJournal,DELETE,GraphDocument.hpp,各业务private operations,RemovedMaterialNode / RemovedFlowNode等typed记录,ER-3,正确构造析构、恢复身份、关联边,无shared_ptr<void>用户自行static_pointer_cast,G06;G10,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M18,GraphEditingSession histories,DELETE_AFTER_CONSUMERS,GraphEditingSession.hpp,各业务sessions operations,EditHistory + typed业务组合操作,ER-3,compound失败原子性/逆序恢复/poison触发条件,不保留两个权威history cursor,G04;G05;E03;E04,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M19,DefaultImGuiNodeGraphRenderer,DELETE_PUBLIC_TYPE,DefaultImGuiNodeGraphRenderer.hpp,modules/function/ui private backend,NodeCanvas私有后端实现,ER-3,视觉和输入能力,Editor PUBLIC链接不传播imgui/node_editor,A05;G12;I03,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M20,GraphNodePresentation / GraphPinPresentation,REPLACE_VALUES,GraphDocument.hpp,generic UI canvas values,CanvasNode/CanvasPin + 样式值,ER-3,标题、颜色、方向,Presentation不再表示任意显示或执行对象,G10;G11,Existing consumers retained unchanged for ER-3,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M21,ResourceJob / AssetRead public state,REBUILD_OWNER,SceneResources.hpp,sessions/scene private,SceneResources + 私有typed请求记录,ER-1,取消、迟到结果释放、资源版本匹配,无公开可写bool组合、无selection locator,R03;R06;R07;R08,SceneResources.hpp private TaskScope/typed requests; SceneResourceSnapshot is owning read-only output,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M22,ResourceRequestKey,RETAIN_NARROW,ResourceRequestKey.hpp,sessions/scene private,ResourceRequestKey,ER-1,源身份/请求代次验证,不是删掉保护来减少类,R04;R05;R08,SceneResourceStatus.hpp exposes narrow ResourceRequestKey for typed retry; admission validates full Session/Entity/source/sequence,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M23,SceneCamera,RETAIN_MATH_RESHAPE_INPUT,SceneCamera.hpp,sessions/scene,SceneCamera + CameraMotion,ER-1,双精度姿态/聚焦/投影/限制,不依赖UiInputSnapshot/ViewportResult/GLFW,U11;F01;A04,sessions/scene SceneCamera/CameraMotion; ui/scene SceneViewport owns input/capture/speed,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M24,ActiveEditHistory,MOVE_RESTRICT_SCOPE,ActiveEditHistory.hpp,ui/actions,ActiveEditHistory,ER-1-ER-3,BUSY注销、target代次、空栈不回退,每window/命令域非拥有路由，不是全局内容栈,H01;H02;H04;H10,ActiveEditHistory moved to editor_ui/actions; editor_context and installed editor-editing Context.cpp migrated includes/namespace,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M25,EditHistoryController,REPLACE_ROLE,EditHistoryController.hpp,ui/actions + EditorWindow,HistoryActions固定目标；窗口公共路由,ER-1-ER-3,失败目标标签正确、disabled不派发,材质局部按钮不得设置全局active再undo,H01;H03;H06,HistoryActions fixed target + HistoryMenuActions captured target + EditorWindow shortcuts; legacy EditHistoryController remains,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M26,Toolset,RETAIN_MOVE,Toolset.hpp,application/tooling,Toolset,ER-1-ER-3,冷安装、freeze、typed工具取得,Pane不持Toolset/万能Context,A03;A09,"lux::editor::application::Toolset in editor_tooling; Application owns cold Toolset, Context/Inspector consumers use the same moved type; no forwarding header",PASS_ER1_CONSUMERS,"q6 clean tracked aa91ba55 (RelWithDebInfo); Toolset cold installation/freeze/typed find/stop/destroy; Context/Inspector consumers migrated; SDK and relocated actual DLL loaded paths, no forwarding header. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed."
M27,EditHistory/EditOperation/PreparedEdit/EditHistoryTarget,RETAIN,EditHistory.hpp,editing,现有类型与协议,各阶段保留,失败保留输入、no-op不截redo、保存票据、预算和通知阶段,不因新架构重写已验收核心,A02;H08;E03;E04,editor_editing unchanged; SceneSession INSPECT_LIVE history target is actually BLOCKED; Text/Record tests use same core,RETAINED,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M28,SceneWorkbench diagnostic/readback/sample labels,MOVE_OUT,SceneWorkbench.cpp,examples/scene_workbench + test/integration,示例与诊断程序,ER-1,保留原测量证据、自动测试输入,生产UI不硬编码Orange cube等槽位名,A08;F01;I07,examples/scene_workbench DevelopmentScene + SceneGpuTest; core Session accepts different nonvisual installed consumer Scene,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M29,PresentationThreadStart,REVIEW_PRIVATE_MOVE,PresentationThreadStart.hpp,rendering private,必要线程启动函数,ER-1,启动失败返回与线程回收,不建立新的线程管理框架,C05;X07;X03,rendering private EditorRenderServer/RendererThreadState; no new thread framework or public Vulkan startup owner,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M30,Scene::executePresentation / RenderSystem::presentationTick,RETAIN,RenderSystem.hpp,原Scene/RenderSystem,现有准确阶段名称,各阶段保留,独立presentation stage与backpressure,不按关键词全仓替换,F15;I07,SceneSession uses actual Scene executePresentation via renderer lease; existing RenderSystem stage retained,RETAINED,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
